date,shop,genre,item,sales,units
2021-06-01,525,567664,56739388,616000,76
2021-06-01,47281,555421,59229505,300730,15
2021-06-01,525,567662,63222928,129740,13
2021-06-01,147,206363,42296262,112200,15
2021-06-01,12356,110435,51576558,101320,17
2021-06-01,525,567664,57803149,84660,15
2021-06-01,34820,507843,49654126,71820,9
2021-06-01,525,567662,56749821,71760,12
2021-06-01,525,567664,56735629,69800,10
2021-06-01,23774,201184,59245703,63440,13
2021-06-01,147,206363,42296264,56100,13
2021-06-01,525,567662,56743324,55860,7
2021-06-01,525,567662,63223070,54780,11
2021-06-01,52256,564286,43848919,51999,1
2021-06-01,32809,509434,53865282,51920,40
2021-06-01,23590,566403,50379631,51440,1
2021-06-01,147,206363,47377548,51000,6
2021-06-01,147,206363,47377546,51000,5
2021-06-01,525,567662,56729813,48860,7
2021-06-01,23590,564895,48140604,48800,1
2021-06-01,36696,502221,25028595,48000,1
2021-06-01,11503,206440,2734313,47680,20
2021-06-01,525,567664,56741839,46800,6
2021-06-01,525,563342,38585496,46500,6
2021-06-01,39441,205582,45957260,45780,18
2021-06-01,37991,205582,83306692,45000,1
2021-06-01,37991,205582,83306731,45000,1
2021-06-01,23590,566403,58668243,44840,2
2021-06-01,52256,564286,43846543,44499,1
2021-06-01,34820,507843,49689257,41280,3
2021-06-01,23590,566403,50379649,40500,1
2021-06-01,525,567662,56729173,39900,5
2021-06-01,27841,551180,48126025,39000,7
2021-06-01,42258,100487,53889336,38400,3
2021-06-01,22714,216158,1419512,38250,15
2021-06-01,525,567662,56729107,35400,3
2021-06-01,19199,506539,56366450,33750,19
2021-06-01,22714,216158,57037748,33150,12
2021-06-01,23774,201184,59245701,33000,3
2021-06-01,37719,563689,19476838,33000,2
2021-06-01,1918,101535,23426864,32347,5
2021-06-01,11503,206440,8380394,32060,8
2021-06-01,32798,567664,56739388,32000,4
2021-06-01,3759,565724,56729825,31200,1
2021-06-01,18788,205611,41682000,31000,1
2021-06-01,525,567664,56729629,30000,3
2021-06-01,525,567662,56729392,28800,4
2021-06-01,22966,206471,1568490,28204,8
2021-06-01,42149,206471,3762102,28000,2
2021-06-01,26451,567645,4108454,28000,1
2021-06-01,23590,502835,29764541,27970,1
2021-06-01,34820,216424,49640266,27640,2
2021-06-01,17904,402279,48755555,27000,10
2021-06-01,3759,565724,19633089,26961,3
2021-06-01,47281,555421,59228692,26773,1
2021-06-01,33112,206361,49118203,26480,2
2021-06-01,525,567664,56729580,26400,3
2021-06-01,44222,564895,25402742,25740,3
2021-06-01,525,567664,56749226,24900,5
2021-06-01,525,563342,48765670,24620,2
2021-06-01,11503,206440,1647448,24510,17
2021-06-01,525,567662,56743281,23940,3
2021-06-01,47281,555421,59229509,23499,1
2021-06-01,11503,206471,14477055,22935,13
2021-06-01,23590,566403,58668276,22790,1
2021-06-01,525,567664,56749887,22500,5
2021-06-01,12356,110435,55612804,22440,3
2021-06-01,23590,566403,58668294,22330,1
2021-06-01,27985,567623,47852339,22240,4
2021-06-01,42258,100487,57991194,22000,2
2021-06-01,23590,566403,58668304,21500,1
2021-06-01,22966,206471,2213127,20703,3
2021-06-01,525,567662,56743317,19960,2
2021-06-01,12356,110435,56681440,19920,4
2021-06-01,147,206361,34571699,19800,2
2021-06-01,11503,206440,8379911,19701,9
2021-06-01,525,563339,38585959,19200,5
2021-06-01,34820,507843,49751477,18840,1
2021-06-01,11503,206440,8379691,18590,10
2021-06-01,23590,502835,29764505,18570,1
2021-06-01,32138,551180,52402,18280,4
2021-06-01,147,206363,41486031,17800,2
2021-06-01,27985,567623,41069845,17800,1
2021-06-01,11503,206440,1647358,17754,5
2021-06-01,525,567664,78359404,17600,2
2021-06-01,525,563342,44310751,17380,1
2021-06-01,525,567662,56743323,17238,2
2021-06-01,11503,206471,8379948,16731,9
2021-06-01,525,563339,36752317,16560,8
2021-06-01,37719,563689,19476977,16500,1
2021-06-01,37719,205611,19476978,16500,1
2021-06-01,11018,206471,53036822,16200,4
2021-06-01,21707,551732,64822869,16000,1
2021-06-01,525,567662,56729506,15960,2
2021-06-01,39441,205582,43960372,15920,4
2021-06-01,3759,565724,56729919,15800,1
2021-06-01,147,206361,41486041,15800,1
2021-06-01,34820,507843,49733647,15760,1
2021-06-01,525,567662,56743332,15360,2
2021-06-01,11503,206440,1647489,15290,8
2021-06-01,27841,551180,42152767,15200,4
2021-06-01,27841,551180,48126056,15200,4
2021-06-01,27841,551180,42152769,15200,3
2021-06-01,3759,565724,56729816,15200,1
2021-06-01,29222,301577,3728369,14940,3
2021-06-01,147,206361,41679377,14900,1
2021-06-01,26451,567645,3962318,14825,1
2021-06-01,21016,100487,55013631,14800,1
2021-06-01,20767,502835,10253347,14600,1
2021-06-01,22966,206471,2327080,14490,3
2021-06-01,21825,201351,25546311,14400,3
2021-06-01,21825,201351,25572790,14400,3
2021-06-01,147,206361,56257273,14400,2
2021-06-01,27985,567623,45262746,14400,1
2021-06-01,37621,214099,55841050,14240,2
2021-06-01,525,567662,56743273,13964,2
2021-06-01,1918,101535,17429042,13836,3
2021-06-01,37621,304080,61264534,13200,1
2021-06-01,11503,206440,8379983,13013,7
2021-06-01,11503,206471,1647303,13013,6
2021-06-01,28488,558846,27851288,13000,1
2021-06-01,34820,507843,49751472,12960,2
2021-06-01,525,563339,49293822,12840,3
2021-06-01,34820,510003,49758330,12720,1
2021-06-01,27985,567623,42703861,12300,3
2021-06-01,11503,206471,14477085,12232,5
2021-06-01,21825,201351,25552000,12000,2
2021-06-01,525,567662,56743248,12000,1
2021-06-01,44222,502835,21779603,11997,3
2021-06-01,525,567662,56743178,11960,2
2021-06-01,21016,100487,55058330,11960,2
2021-06-01,525,563342,38585552,11940,1
2021-06-01,12356,110435,51576576,11920,2
2021-06-01,22966,206471,1568501,11820,4
2021-06-01,12356,110435,56681429,11800,5
2021-06-01,525,563339,44310761,11800,1
2021-06-01,3759,565724,20512426,11778,1
2021-06-01,147,558846,41679366,11700,1
2021-06-01,12234,567645,39695594,11500,1
2021-06-01,525,563342,48765679,11170,1
2021-06-01,11503,206471,8379982,11154,6
2021-06-01,11503,206440,8379374,11154,6
2021-06-01,27985,567623,41069821,11120,3
2021-06-01,1918,207774,56136856,11058,2
2021-06-01,14564,551180,41371181,11000,2
2021-06-01,37719,563689,19476842,11000,1
2021-06-01,11503,206471,7150395,10945,5
2021-06-01,11503,206471,8379988,10945,5
2021-06-01,525,563339,36395890,10900,4
2021-06-01,6817,509417,50049762,10818,2
